contributor,contributor_iso_3,contributor_capital,contributor_capital_latitude,contributor_capital_longitude,contributor_continent,contributor_region,contributor_un_bloc,contributor_p5g4a3,contributor_nam,contributor_g77,contributor_au,contributor_arab_league,contributor_oic,contributor_cis,contributor_g20,contributor_eu,contributor_nato,contributor_g8,contributor_oecd,contributor_asean,contributor_oas,contributor_shanghai,contributor_gcc,contributor_uma,contributor_comesa,contributor_censad,contributor_eac,contributor_eccas,contributor_ecowas,contributor_igad,contributor_sadc
Timor-Leste,TLS,Dili,-8.4834,125.567,Asia,South-Eastern Asia,APG,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,St. Georges,12.05,-61.75,South America,Caribbean,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Macedonia,MKD,Skopje,42.0167,21.4334,Europe,Southern Europe,EEG,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,Podgorica,42.441,19.2628,Europe,Southern Europe,EEG,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,Doha,25.25,51.5835,Asia,Western Asia,APG,None,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cyprus,CYP,Nicosia,35.1667,33.4168,Asia,Western Asia,APG,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,BDI,Bujumbura,-3.2667,29.3001,Africa,Eastern Africa,AG,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Kazakhstan,KAZ,Astana,51.1667,71.5001,Asia,Central Asia,APG,None,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DR Congo,COD,Kinshasa,-4.3334,15.25,Africa,Middle Africa,AG,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Mauritania,MRT,Nouakchott,-20.1667,57.5001,Africa,Western Africa,AG,None,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lesotho,LSO,Maseru,-29.3001,27.5001,Africa,Southern Africa,AG,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
